company,ticker,date,close
"Caterpillar Inc",CAT,"2025-08-25 16:00:00",432.3
"Caterpillar Inc",CAT,"2025-08-26 16:00:00",431.26
"Caterpillar Inc",CAT,"2025-08-27 16:00:00",432.67
"Caterpillar Inc",CAT,"2025-08-28 16:00:00",434.91
"Caterpillar Inc",CAT,"2025-08-29 16:00:00",419.04
"Caterpillar Inc",CAT,"2025-09-02 16:00:00",416.05
"Caterpillar Inc",CAT,"2025-09-03 16:00:00",415.12
"Caterpillar Inc",CAT,"2025-09-04 16:00:00",420.22
"Caterpillar Inc",CAT,"2025-09-05 16:00:00",423.08
"Caterpillar Inc",CAT,"2025-09-08 16:00:00",422.78
"Caterpillar Inc",CAT,"2025-09-09 16:00:00",418.09
"Caterpillar Inc",CAT,"2025-09-10 16:00:00",422.91
"Caterpillar Inc",CAT,"2025-09-11 16:00:00",431.38
"Caterpillar Inc",CAT,"2025-09-12 16:00:00",431.52
"Caterpillar Inc",CAT,"2025-09-15 16:00:00",435.94
"Caterpillar Inc",CAT,"2025-09-16 16:00:00",440.67
"Caterpillar Inc",CAT,"2025-09-17 16:00:00",450.66
"Caterpillar Inc",CAT,"2025-09-18 16:00:00",466.96
"Caterpillar Inc",CAT,"2025-09-19 16:00:00",466.54
"Caterpillar Inc",CAT,"2025-09-22 16:00:00",472.1
"Caterpillar Inc",CAT,"2025-09-23 16:00:00",471.26
"Caterpillar Inc",CAT,"2025-09-24 16:00:00",471.26
"Caterpillar Inc",CAT,"2025-09-26 16:00:00",465.76
"Caterpillar Inc",CAT,"2025-09-29 16:00:00",471.61
"Caterpillar Inc",CAT,"2025-09-30 16:00:00",477.15
"Caterpillar Inc",CAT,"2025-10-01 16:00:00",480.82
"Caterpillar Inc",CAT,"2025-10-02 16:00:00",490.57
"Caterpillar Inc",CAT,"2025-10-03 16:00:00",497.85
"Caterpillar Inc",CAT,"2025-10-06 16:00:00",495.38
"Caterpillar Inc",CAT,"2025-10-07 16:00:00",486.71
"Caterpillar Inc",CAT,"2025-10-08 16:00:00",502.12
"Caterpillar Inc",CAT,"2025-10-09 16:00:00",500.36
"Caterpillar Inc",CAT,"2025-10-10 16:00:00",491.3
"Caterpillar Inc",CAT,"2025-10-13 16:00:00",504.76
"Caterpillar Inc",CAT,"2025-10-14 16:00:00",527.47
"Caterpillar Inc",CAT,"2025-10-15 16:00:00",534.05
"Caterpillar Inc",CAT,"2025-10-16 16:00:00",540.96
"Caterpillar Inc",CAT,"2025-10-17 16:00:00",527.08
"Caterpillar Inc",CAT,"2025-10-20 16:00:00",531.18
"Caterpillar Inc",CAT,"2025-10-21 16:00:00",524.65
"Caterpillar Inc",CAT,"2025-10-22 16:00:00",513.91
"Caterpillar Inc",CAT,"2025-10-23 16:00:00",520.5
"Caterpillar Inc",CAT,"2025-10-24 16:00:00",522.73
"Caterpillar Inc",CAT,"2025-10-27 16:00:00",527.07
"Caterpillar Inc",CAT,"2025-10-28 16:00:00",524.47
"Caterpillar Inc",CAT,"2025-10-29 16:00:00",585.49
"Caterpillar Inc",CAT,"2025-10-30 16:00:00",583.15
"Caterpillar Inc",CAT,"2025-10-31 16:00:00",577.26
"Caterpillar Inc",CAT,"2025-11-03 16:00:00",570.59
"Caterpillar Inc",CAT,"2025-11-04 16:00:00",547.58
"Caterpillar Inc",CAT,"2025-11-05 16:00:00",569.15
"Caterpillar Inc",CAT,"2025-11-06 16:00:00",569.78
"Caterpillar Inc",CAT,"2025-11-07 16:00:00",563.1
"Caterpillar Inc",CAT,"Merck & Co Inc",MRK
"Caterpillar Inc",CAT,Date,Close
"Caterpillar Inc",CAT,"2024-11-11 16:00:00",100.73
"Caterpillar Inc",CAT,"2024-11-12 16:00:00",98.58
"Caterpillar Inc",CAT,"2024-11-13 16:00:00",98.5
"Caterpillar Inc",CAT,"2024-11-14 16:00:00",98.36
"Caterpillar Inc",CAT,"2024-11-15 16:00:00",96.31
"Caterpillar Inc",CAT,"2024-11-18 16:00:00",96.56
"Caterpillar Inc",CAT,"2024-11-19 16:00:00",96.54
"Caterpillar Inc",CAT,"2024-11-20 16:00:00",97.44
"Caterpillar Inc",CAT,"2024-11-21 16:00:00",99.86
"Caterpillar Inc",CAT,"2024-11-22 16:00:00",99.18
"Caterpillar Inc",CAT,"2024-11-25 16:00:00",101.16
"Caterpillar Inc",CAT,"2024-11-26 16:00:00",101.62
"Caterpillar Inc",CAT,"2024-11-27 16:00:00",103.12
"Caterpillar Inc",CAT,"2024-11-29 13:00:00",101.64
"Caterpillar Inc",CAT,"2024-12-02 16:00:00",100.61
"Caterpillar Inc",CAT,"2024-12-03 16:00:00",101.85
"Caterpillar Inc",CAT,"2024-12-04 16:00:00",101.37
"Caterpillar Inc",CAT,"2024-12-05 16:00:00",103.55
"Caterpillar Inc",CAT,"2024-12-06 16:00:00",103.09
"Caterpillar Inc",CAT,"2024-12-09 16:00:00",103.79
"Caterpillar Inc",CAT,"2024-12-10 16:00:00",101
"Caterpillar Inc",CAT,"2024-12-11 16:00:00",99.75
"Caterpillar Inc",CAT,"2024-12-12 16:00:00",101.25
"Caterpillar Inc",CAT,"2024-12-13 16:00:00",102
"Caterpillar Inc",CAT,"2024-12-16 16:00:00",100.06
"Caterpillar Inc",CAT,"2024-12-17 16:00:00",100.06
"Caterpillar Inc",CAT,"2024-12-18 16:00:00",98.34
"Caterpillar Inc",CAT,"2024-12-19 16:00:00",99.52
"Caterpillar Inc",CAT,"2024-12-20 16:00:00",98.05
"Caterpillar Inc",CAT,"2024-12-23 16:00:00",99.37
"Caterpillar Inc",CAT,"2024-12-24 13:00:00",99.45
"Caterpillar Inc",CAT,"2024-12-26 16:00:00",99.87
"Caterpillar Inc",CAT,"2024-12-27 16:00:00",99.7
"Caterpillar Inc",CAT,"2024-12-30 16:00:00",98.37
"Caterpillar Inc",CAT,"2024-12-31 16:00:00",99.48
"Caterpillar Inc",CAT,"2025-01-02 16:00:00",99.17
"Caterpillar Inc",CAT,"2025-01-03 16:00:00",99.14
"Caterpillar Inc",CAT,"2025-01-06 16:00:00",99.72
"Caterpillar Inc",CAT,"2025-01-07 16:00:00",101.02
"Caterpillar Inc",CAT,"2025-01-08 16:00:00",99.85
"Caterpillar Inc",CAT,"2025-01-10 16:00:00",99.25
"Caterpillar Inc",CAT,"2025-01-13 16:00:00",100.98
"Caterpillar Inc",CAT,"2025-01-14 16:00:00",99.65
"Caterpillar Inc",CAT,"2025-01-15 16:00:00",100.09
"Caterpillar Inc",CAT,"2025-01-16 16:00:00",100.7
"Caterpillar Inc",CAT,"2025-01-17 16:00:00",97.92
"Caterpillar Inc",CAT,"2025-01-21 16:00:00",96.24
"Caterpillar Inc",CAT,"2025-01-22 16:00:00",95.68
"Caterpillar Inc",CAT,"2025-01-23 16:00:00",96.63
"Caterpillar Inc",CAT,"2025-01-24 16:00:00",95.55
"Caterpillar Inc",CAT,"2025-01-27 16:00:00",97.94
"Caterpillar Inc",CAT,"2025-01-28 16:00:00",97.45
"Caterpillar Inc",CAT,"2025-01-29 16:00:00",98.28
"Caterpillar Inc",CAT,"2025-01-30 16:00:00",98.95
"Caterpillar Inc",CAT,"2025-01-31 16:00:00",98.82
"Caterpillar Inc",CAT,"2025-02-03 16:00:00",99.79
"Caterpillar Inc",CAT,"2025-02-04 16:00:00",90.74
"Caterpillar Inc",CAT,"2025-02-05 16:00:00",89.67
"Caterpillar Inc",CAT,"2025-02-06 16:00:00",88.05
"Caterpillar Inc",CAT,"2025-02-07 16:00:00",87.28
"Caterpillar Inc",CAT,"2025-02-10 16:00:00",86.4
"Caterpillar Inc",CAT,"2025-02-11 16:00:00",86.54
"Caterpillar Inc",CAT,"2025-02-12 16:00:00",85.67
"Caterpillar Inc",CAT,"2025-02-13 16:00:00",84.42
"Caterpillar Inc",CAT,"2025-02-14 16:00:00",83.01
"Caterpillar Inc",CAT,"2025-02-18 16:00:00",83.29
"Caterpillar Inc",CAT,"2025-02-19 16:00:00",85.6
